4 - List Of Successful Candidate,,,,,,,,
,,,,,,,,
SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
112,Gujarat,Gandhinagar,AMIT SHAH,GEN,GENERAL,BJP,Lotus,557014
113,Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,GEN,GENERAL,BJP,Lotus,434330
114,Gujarat,Ahmedabad West,DR. KIRIT P. SOLANKI,SC,SC,BJP,Lotus,321546
115,Gujarat,Surendranagar,Dr. MUNJAPARA MAHENDRABHAI,GEN,GENERAL,BJP,Lotus,277437
116,Gujarat,Rajkot,KUNDARIA MOHANBHAI KALYANJIBHAI,GEN,GENERAL,BJP,Lotus,368407
117,Gujarat,Porbandar,RAMESHBHAI LAVJIBHAI DHADUK,GEN,GENERAL,BJP,Lotus,229823
118,Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,GEN,GENERAL,BJP,Lotus,236804
119,Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,GEN,GENERAL,BJP,Lotus,150211
120,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,GEN,GENERAL,BJP,Lotus,201431
121,Gujarat,Bhavnagar,DR.BHARATIBEN DHIRUBHAI SHIYAL,GEN,GENERAL,BJP,Lotus,329519
122,Gujarat,Anand,PATEL MITESH RAMESHBHAI (BAKABHAI),GEN,GENERAL,BJP,Lotus,197718
123,Gujarat,Kheda,Chauhan Devusinh,GEN,GENERAL,BJP,Lotus,367145
124,Gujarat,Panchmahal,Ratansinh Magansinh Rathod,GEN,GENERAL,BJP,Lotus,428541
125,Haryana,Ambala,RATTAN LAL KATARIA,SC,SC,BJP,Lotus,342345
126,Haryana,Kurukshetra,NAYAB SINGH,GEN,GENERAL,BJP,Lotus,384591
127,Haryana,Sirsa,Sunita Duggal,SC,SC,BJP,Lotus,309918
128,Haryana,Hisar,BRIJENDRA SINGH,GEN,GENERAL,BJP,Lotus,314068
129,Haryana,Karnal,Sanjay Bhatia,GEN,GENERAL,BJP,Lotus,656142
130,Haryana,Sonipat,RAMESH CHANDER KAUSHIK,GEN,GENERAL,BJP,Lotus,164864
131,Haryana,Rohtak,ARVIND KUMAR SHARMA,GEN,GENERAL,BJP,Lotus,7503
132,Haryana,Bhiwani-Mahendragarh,Dharambir Singh S/o Bhale Ram,GEN,GENERAL,BJP,Lotus,444463
133,Haryana,Gurgaon,RAO INDERJIT SINGH,GEN,GENERAL,BJP,Lotus,386256
134,Haryana,Faridabad,KRISHAN PAL,GEN,GENERAL,BJP,Lotus,638239
135,Himachal Pradesh,Kangra,Kishan Kapoor,GEN,ST,BJP,Lotus,477623
136,Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,GEN,GENERAL,BJP,Lotus,405459
137,Himachal Pradesh,Hamirpur,ANURAG SINGH THAKUR,GEN,GENERAL,BJP,Lotus,399572
138,Himachal Pradesh,Shimla,SURESH KUMAR KASHYAP,SC,SC,BJP,Lotus,327514
139,Jammu & Kashmir,Baramulla,MOHAMMAD AKBAR LONE,GEN,GENERAL,JKN,Plough,30233
140,Jammu & Kashmir,Srinagar,Farooq Abdullah,GEN,GENERAL,JKN,Plough,70050
141,Jammu & Kashmir,Anantnag,HASNAIN MASOODI,GEN,GENERAL,JKN,Plough,6676
142,Jammu & Kashmir,Ladakh,Jamyang Tsering Namgyal,GEN,ST,BJP,Lotus,10930
143,Jammu & Kashmir,Udhampur,DR. JITENDRA SINGH,GEN,GENERAL,BJP,Lotus,357252
144,Jammu & Kashmir,Jammu,Jugal Kishore,GEN,GENERAL,BJP,Lotus,302875
145,Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,ST,ST,JMM,Bow & Arrow,99195
146,Jharkhand,Dumka,SUNIL SOREN,ST,ST,BJP,Lotus,47590
147,Jharkhand,Godda,Nishikant Dubey,GEN,GENERAL,BJP,Lotus,184227
148,Jharkhand,Chatra,SUNIL KUMAR SINGH,GEN,GENERAL,BJP,Lotus,377871
149,Jharkhand,Kodarma,ANNPURNA DEVI,GEN,GENERAL,BJP,Lotus,455600
150,Jharkhand,Giridih,Chandra Prakash Choudhary,GEN,GENERAL,AJSUP,Banana,248347
151,Jharkhand,Dhanbad,PASHUPATI NATH SINGH,GEN,GENERAL,BJP,Lotus,486194
152,Jharkhand,Ranchi,SANJAY SETH,GEN,GENERAL,BJP,Lotus,282780
153,Jharkhand,Jamshedpur,Bidyut Baran Mahato,GEN,GENERAL,BJP,Lotus,302090
154,Jharkhand,Singhbhum,GEETA KORA,ST,ST,INC,Hand,72155
155,Jharkhand,Khunti,ARJUN MUNDA,ST,ST,BJP,Lotus,1445
156,Jharkhand,Lohardaga,SUDARSHAN BHAGAT,ST,ST,BJP,Lotus,10363
157,Jharkhand,Palamau,VISHNU DAYAL RAM,SC,SC,BJP,Lotus,477606
158,Jharkhand,Hazaribagh,JAYANT SINHA,GEN,GENERAL,BJP,Lotus,479548
159,Karnataka,Gulbarga,DR. UMESH G JADHAV,SC,SC,BJP,Lotus,95452
160,Karnataka,Raichur,RAJA AMARESHWARA NAIK,ST,ST,BJP,Lotus,117716
161,Karnataka,Bidar,BHAGWANTH KHUBA,GEN,GENERAL,BJP,Lotus,116834
162,Karnataka,Koppal,KARADI SANGANNA AMARAPPA,GEN,GENERAL,BJP,Lotus,38397
163,Karnataka,Bellary,Y. DEVENDRAPPA,ST,ST,BJP,Lotus,55707
164,Karnataka,Haveri,UDASI. S.C.,GEN,GENERAL,BJP,Lotus,140882
