4 - List Of Successful Candidate,,,,,,,,
,,,,,,,,
SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
523,West Bengal,Tamluk,Adhikari Dibyendu,GEN,GENERAL,AITC,Flowers and Grass,190165
524,West Bengal,Kanthi,Adhikari Sisir,GEN,GENERAL,AITC,Flowers and Grass,111668
525,West Bengal,Ghatal,ADHIKARI DEEPAK (DEV),GEN,GENERAL,AITC,Flowers and Grass,107973
526,West Bengal,Jhargram,Kunar Hembram,ST,ST,BJP,Lotus,11767
527,West Bengal,Cooch behar,NISITH PRAMANIK,SC,SC,BJP,Lotus,54231
528,West Bengal,Medinipur,Dilip Ghosh,GEN,GENERAL,BJP,Lotus,88952
529,West Bengal,Alipurduars,JOHN BARLA,ST,ST,BJP,Lotus,243989
530,West Bengal,Purulia,JYOTIRMAY SINGH MAHATO,GEN,GENERAL,BJP,Lotus,204732
531,West Bengal,Jalpaiguri,Dr. JAYANTA KUMAR ROY,SC,SC,BJP,Lotus,184004
532,West Bengal,Bankura,DR. SUBHAS SARKAR,GEN,GENERAL,BJP,Lotus,174333
533,West Bengal,Darjeeling,RAJU BISTA,GEN,GENERAL,BJP,Lotus,413443
534,West Bengal,Bishnupur,KHAN SAUMITRA,SC,SC,BJP,Lotus,78047
535,West Bengal,Raiganj,DEBASREE CHAUDHURI,GEN,GENERAL,BJP,Lotus,60574
536,West Bengal,Bardhaman Purba,SUNIL KUMAR MONDAL,SC,SC,AITC,Flowers and Grass,89311
537,West Bengal,Balurghat,Sukanta Majumdar,GEN,GENERAL,BJP,Lotus,33293
538,West Bengal,Bardhaman Durgapur,S.S AHLUWALIA,GEN,GENERAL,BJP,Lotus,2439
539,West Bengal,Maldaha Uttar,KHAGEN MURMU,GEN,ST,BJP,Lotus,84288
540,West Bengal,Asansol,BABUL SUPRIYO,GEN,GENERAL,BJP,Lotus,197637
541,West Bengal,Maldaha Dakshin,ABU HASEM KHAN CHOWDHURY (DALU),GEN,GENERAL,INC,Hand,8222
542,West Bengal,Bolpur,ASIT KUMAR MAL,SC,SC,AITC,Flowers and Grass,106402
543,West Bengal,Jangipur,KHALILUR RAHAMAN,GEN,GENERAL,AITC,Flowers and Grass,245782
,,,,,,,,
,,,,,,,,
,,,,,,,,
Disclaimer,,,,,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,,,,
