District,YEAR,Cropped.land.area
Rudra Prayag,2017,31262
Rudra Prayag,2018,31345
Tehri Garhwal,2011,82202
Tehri Garhwal,2012,82914
Tehri Garhwal,2013,77673
Tehri Garhwal,2014,82222
Tehri Garhwal,2015,81095
Tehri Garhwal,2016,78917
Tehri Garhwal,2017,76993
Tehri Garhwal,2018,73287
Udam Singh Nagar,2011,264848
Udam Singh Nagar,2012,264691
Udam Singh Nagar,2013,261002
Udam Singh Nagar,2014,255713
Udam Singh Nagar,2015,253591
Udam Singh Nagar,2016,258328
Udam Singh Nagar,2017,260526
Udam Singh Nagar,2018,264390
Uttar Kashi,2011,42145
Uttar Kashi,2012,41524
Uttar Kashi,2013,39615
Uttar Kashi,2014,40454
Uttar Kashi,2015,42182
Uttar Kashi,2016,41099
Uttar Kashi,2017,42282
Uttar Kashi,2018,41013
Ambala,2011,206917
Ambala,2012,206128
Ambala,2013,198683
Ambala,2014,207145
Ambala,2015,208678
Ambala,2016,204269
Ambala,2017,207901
Bhiwani,2011,522064.3435
Bhiwani,2012,501295.3821
Bhiwani,2013,522209.6748
Bhiwani,2014,560252.5932
Bhiwani,2015,522873.5422
Bhiwani,2016,524556.1392
Bhiwani,2017,514292
Faridabad,2011,65369
Faridabad,2012,64877
Faridabad,2013,62743
Faridabad,2014,58993
Faridabad,2015,54534
Faridabad,2016,58358
Faridabad,2017,60534
Fatehabad,2011,421858
Fatehabad,2012,427193
Fatehabad,2013,426902
Fatehabad,2014,428358
Fatehabad,2015,433349
Fatehabad,2016,431048
Fatehabad,2017,431773
Gurugram,2011,110773
Gurugram,2012,105031
Gurugram,2013,110078
Gurugram,2014,105563
Gurugram,2015,107838
Gurugram,2016,101752
Gurugram,2017,108618
Hisar,2011,638650
Hisar,2012,630830
Hisar,2013,662258
Hisar,2014,653498
Hisar,2015,661154
Hisar,2016,645482
Hisar,2017,644863
Jhajjar,2011,231978
Jhajjar,2012,224617
Jhajjar,2013,234784
Jhajjar,2014,238622
Jhajjar,2015,241993
Jhajjar,2016,205519
Jhajjar,2017,248076
Jind,2011,470999.5002
Jind,2012,463227.8228
Jind,2013,464696.2768
Jind,2014,468910.5726
Jind,2015,460927.1463
Jind,2016,438184.3286
Jind,2017,473063
Kaithal,2011,387734.4998
Kaithal,2012,391584.1772
Kaithal,2013,387181.7232
Kaithal,2014,388055.4274
Kaithal,2015,386965.8537
Kaithal,2016,386058.6714
Kaithal,2017,382972
Karnal,2011,382680.7082
Karnal,2012,388718.0872
Karnal,2013,380099.1118
Karnal,2014,391362.625
Karnal,2015,390229.6798
Karnal,2016,413045.4374
Karnal,2017,390243
Kurukshetra,2011,275800
Kurukshetra,2012,265338
Kurukshetra,2013,271870
Kurukshetra,2014,287471
Kurukshetra,2015,278652
Kurukshetra,2016,266082
Kurukshetra,2017,279159
Mahendragarh,2011,283047
Mahendragarh,2012,284899
Mahendragarh,2013,288304
Mahendragarh,2014,288802
Mahendragarh,2015,271137
Mahendragarh,2016,293129
Mahendragarh,2017,285203
Panchkula,2011,42347
Panchkula,2012,44187
Panchkula,2013,43601
Panchkula,2014,44263
Panchkula,2015,41519
Panchkula,2016,39088
Panchkula,2017,43353
Panipat,2011,191023.2918
Panipat,2012,189747.9128
Panipat,2013,188561.8882
Panipat,2014,162472.375
Panipat,2015,168159.3202
Panipat,2016,184683.5626
Panipat,2017,187061
Rewari,2011,194696
Rewari,2012,181887
Rewari,2013,190870
Rewari,2014,192492
Rewari,2015,200027
Rewari,2016,198935
Rewari,2017,198423
Rohtak,2011,229108
Rohtak,2012,227987
Rohtak,2013,231077
Rohtak,2014,225789
Rohtak,2015,225794
Rohtak,2016,226563
Rohtak,2017,241679
Sirsa,2011,719589
Sirsa,2012,725948
Sirsa,2013,719253
