District,YEAR,Cropped.land.area
South West Garo Hills,2012,NA
South West Garo Hills,2013,NA
South West Garo Hills,2014,34778
South West Garo Hills,2015,34935
South West Garo Hills,2016,35476
South West Garo Hills,2017,35532
South West Garo Hills,2018,35607
Unknown Districts Of India,2011,237470
Unknown Districts Of India,2012,237910
Unknown Districts Of India,2013,237987
Barpeta,2011,255003.2235
Barpeta,2012,200733.1889
Barpeta,2013,214653.8054
Barpeta,2014,216547.2259
Dinajpur Uttar,2014,496257
Barpeta,2015,206438.8487
Barpeta,2016,208404.2169
Barpeta,2017,208716.1711
Barpeta,2018,193033.2272
Bongaigaon,2011,102672.0956
Bongaigaon,2012,96593.17672
Bongaigaon,2013,91843.2795
Bongaigaon,2014,85122.73314
Bongaigaon,2015,84179.7446
Bongaigaon,2016,91211.27547
Bongaigaon,2017,86618.8411
Bongaigaon,2018,87451.98692
Cachar,2011,163499.7148
Cachar,2012,167763.4469
Cachar,2013,153769.0735
Cachar,2014,165856.5293
Cachar,2015,165594.8707
Cachar,2016,193394.6392
Cachar,2017,193456.0385
Cachar,2018,190736.2179
Darrang,2011,142187.7972
Darrang,2012,119864.2645
Darrang,2013,115094.6983
Darrang,2014,116780.3172
Darrang,2015,117102.2151
Darrang,2016,118188.8657
Darrang,2017,118908.437
Darrang,2018,115159.3994
Dhemaji,2011,120950.0961
Dhemaji,2012,122815.8247
Dhemaji,2013,128045.8511
Dhemaji,2014,129672.1279
Dhemaji,2015,123542.1618
Dhemaji,2016,117488.0222
Dhemaji,2017,111711.2476
Dhemaji,2018,114279.3681
Dhubri,2011,144162.2661
Dhubri,2012,142440.3562
Dhubri,2013,137302.95
Dhubri,2014,135814.2934
Dhubri,2015,136688.9937
Dhubri,2016,138391.7435
Dinajpur Uttar,2015,528618
Dhubri,2017,136858.9354
Dhubri,2018,139263.9447
Dibrugarh,2011,166107
Dibrugarh,2012,160044
Dibrugarh,2013,172789
Dibrugarh,2014,166181
Dibrugarh,2015,167999
Dibrugarh,2016,160517
Dibrugarh,2017,165261
Dibrugarh,2018,167116
Goalpara,2011,125242
Goalpara,2012,126052
Goalpara,2013,129026
Goalpara,2014,133608
Goalpara,2015,134643
Goalpara,2016,128096
Goalpara,2017,129702
Goalpara,2018,126691
Golaghat,2011,183312.8426
Golaghat,2012,204394.234
Golaghat,2013,205004.9766
Golaghat,2014,202610.8968
Golaghat,2015,199687.5119
Golaghat,2016,199994.7999
Golaghat,2017,187452.9119
Golaghat,2018,183981.7209
Hailakandi,2011,78782.41996
Hailakandi,2012,78599.13596
Hailakandi,2013,76341.4289
Hailakandi,2014,73684.30889
Hailakandi,2015,73055.49907
Hailakandi,2016,73649.99433
Hailakandi,2017,70345.47015
Hailakandi,2018,72370.69804
Jorhat,2011,120526.8409
Jorhat,2012,107083.4093
Jorhat,2013,115430.6606
Jorhat,2014,107880.7896
Jorhat,2015,108191.3046
Jorhat,2016,106923.6566
Jorhat,2017,112710.0238
Jorhat,2018,112212.7849
Kamrup,2011,187586.7759
Kamrup,2012,176647.6755
Kamrup,2013,181430.3603
Kamrup,2014,172531.6266
Kamrup,2015,167700.998
Kamrup,2016,172366.9905
Kamrup,2017,160777.8779
Kamrup,2018,170282.8691
Karbi Anglong,2011,127132.5297
Dinajpur Uttar,2016,508160
North Goa,2013,94855
Karbi Anglong,2012,132550.1484
Karbi Anglong,2013,131449.1038
Karbi Anglong,2014,130072.0101
Karbi Anglong,2015,131990.4875
Karbi Anglong,2016,138473.857
Karbi Anglong,2017,139854.1019
Karbi Anglong,2018,132304.3514
Karimganj,2011,103686.2852
Karimganj,2012,87697.55311
Karimganj,2013,88546.9265
Karimganj,2014,88419.4707
Karimganj,2015,84752.12935
Karimganj,2016,86337.3608
Karimganj,2017,72846.96147
Karimganj,2018,73825.78215
Kokrajhar,2011,173855.3367
Kokrajhar,2012,175377.9279
Kokrajhar,2013,179820.9386
Kokrajhar,2014,176426.4816
Kokrajhar,2015,176190.801
Kokrajhar,2016,175023.0495
Kokrajhar,2017,158922.2231
Kokrajhar,2018,152333.348
Lakhimpur,2011,223484.9039
Lakhimpur,2012,217503.1753
Lakhimpur,2013,199140.1489
Lakhimpur,2014,184515.8721
Lakhimpur,2015,189338.8382
Lakhimpur,2016,179489.9778
Lakhimpur,2017,195118.7524
Lakhimpur,2018,198011.6319
Marigaon,2011,127811
Marigaon,2012,120975
Marigaon,2013,126681
Marigaon,2014,128184
Marigaon,2015,129619
Marigaon,2016,130530
Marigaon,2017,128655
Marigaon,2018,124791
Nagaon,2011,210663.2162
Nagaon,2012,213793.7245
Nagaon,2013,221955.7083
Nagaon,2014,224990.4996
Nagaon,2015,222722.1479
Nagaon,2016,239526.8118
Nagaon,2017,247392.4953
Nagaon,2018,238937.7301
Nalbari,2011,120599.0568
Nalbari,2012,123079.6436
Nalbari,2013,120940.5869
Nalbari,2014,115338.2956
Nalbari,2015,113555.7483
Nalbari,2016,114949.8301
Nalbari,2017,117754.9703
Nalbari,2018,118823.5
Dima Hasao,2011,NA
Dima Hasao,2012,NA
Dima Hasao,2013,NA
Dima Hasao,2014,NA
Dima Hasao,2015,NA
Dima Hasao,2016,NA
Dima Hasao,2017,NA
Dima Hasao,2018,NA
Sivasagar,2011,89763.70492
Sivasagar,2012,88665.74573
Sivasagar,2013,91842.22015
Sivasagar,2014,89791.85772
Sivasagar,2015,91122.22727
Sivasagar,2016,93920.73538
Sivasagar,2017,91737.3959
Sivasagar,2018,90622.06582
Sonitpur,2011,147190.6631
Sonitpur,2012,136268.5875
Sonitpur,2013,141792.9456
Sonitpur,2014,148234.2254
Sonitpur,2015,146789.0003
Sonitpur,2016,146049.8103
Sonitpur,2017,144083.3475
Sonitpur,2018,140412.9431
Tinsukia,2011,143524
Tinsukia,2012,146961
Tinsukia,2013,148589
Tinsukia,2014,151852
Tinsukia,2015,154207
Tinsukia,2016,149334
Tinsukia,2017,143353
Tinsukia,2018,144388
Chirang,2011,89663.26089
Chirang,2012,99336.49844
Chirang,2013,86187.48616
Chirang,2014,89070.73209
Chirang,2015,88369.90765
Chirang,2016,87734.51328
Chirang,2017,87353.51765
Chirang,2018,87672.0878
Baksa,2011,134748.7845
Baksa,2012,143830.4055
Baksa,2013,143195.0805
Baksa,2014,145470.3885
Baksa,2015,145024.7698
Baksa,2016,142799.3585
Dinajpur Uttar,2017,527708
Baksa,2017,142823.5371
Baksa,2018,144776.209
Udalguri,2011,162155.4665
Udalguri,2012,169244.5084
Udalguri,2013,167434.0267
Udalguri,2014,173188.0149
Udalguri,2015,171975.8493
Udalguri,2016,160780.2895
Udalguri,2017,160128.1213
Udalguri,2018,160251.2666
Kamrup Metro,2011,48400.11897
Kamrup Metro,2012,47988.50251
Kamrup Metro,2013,47689.24727
Kamrup Metro,2014,47908.35714
Kamrup Metro,2015,46006.41948
Kamrup Metro,2016,38735.66564
Kamrup Metro,2017,34788.05641
Kamrup Metro,2018,36529.75599
Biswanath,2011,123618.3369
Biswanath,2012,114445.4125
Biswanath,2013,119085.0544
Dinajpur Uttar,2018,512881
Biswanath,2014,124494.7746
Biswanath,2015,123280.9997
Biswanath,2016,122660.1897
Biswanath,2017,121008.6525
Biswanath,2018,117926.0569
Majuli,2011,53753.15913
Majuli,2012,47757.59073
Majuli,2013,51480.33936
Majuli,2014,48113.21038
Majuli,2015,48251.69539
Majuli,2016,47686.34343
Majuli,2017,50266.97622
Majuli,2018,50045.21514
South Salmara Mancachar,2011,27685.39716
South Salmara Mancachar,2012,27354.71589
South Salmara Mancachar,2013,26368.11146
South Salmara Mancachar,2014,26082.22494
South Salmara Mancachar,2015,26250.20527
South Salmara Mancachar,2016,26577.20696
South Salmara Mancachar,2017,26282.84144
South Salmara Mancachar,2018,26744.70734
Charaideo,2011,60093.29508
Medinipur East,2015,538551
Charaideo,2012,59358.25427
Charaideo,2013,61484.77985
Charaideo,2014,60112.14228
Charaideo,2015,61002.77273
Charaideo,2016,62876.26462
Charaideo,2017,61414.6041
Charaideo,2018,60667.93418
Hojai,2011,88658.78375
Hojai,2012,89976.27552
Hojai,2013,93411.2917
Hojai,2014,94688.50045
Hojai,2015,93733.85208
Hojai,2016,100806.1882
Hojai,2017,104116.5047
Hojai,2018,100558.2699
West Karbi Anglong,2011,73285.62771
West Karbi Anglong,2012,76408.61751
West Karbi Anglong,2013,75773.9196
West Karbi Anglong,2014,74980.09309
West Karbi Anglong,2015,76086.0006
West Karbi Anglong,2016,79823.34309
West Karbi Anglong,2017,80618.98614
North Goa,2014,94635
West Karbi Anglong,2018,76266.92765
Unknown Districts Of India,2011,54217
Unknown Districts Of India,2012,54267
Unknown Districts Of India,2013,55961
Unknown Districts Of India,2014,54371
Unknown Districts Of India,2015,54840
Unknown Districts Of India,2016,54707
Unknown Districts Of India,2017,54457
Unknown Districts Of India,2018,55994
24 Paraganas North,2011,464087
24 Paraganas North,2012,459972
24 Paraganas North,2013,470108
24 Paraganas North,2014,483255
24 Paraganas North,2015,485488
24 Paraganas North,2016,489136
24 Paraganas North,2017,476323
24 Paraganas North,2018,500385
24 Paraganas South,2011,539713
24 Paraganas South,2012,530202
24 Paraganas South,2013,546950
24 Paraganas South,2014,555294
24 Paraganas South,2015,564381
24 Paraganas South,2016,530684
24 Paraganas South,2017,562994
24 Paraganas South,2018,603595
Bankura,2011,504056
Bankura,2012,504303
Bankura,2013,508871
Bankura,2014,492227
Bankura,2015,506602
Bankura,2016,520851
Bankura,2017,535011
Bankura,2018,540676
Purba Bardhaman,2011,618343.739
Purba Bardhaman,2012,621419.2596
Purba Bardhaman,2013,638370.6452
Purba Bardhaman,2014,624470.7651
Purba Bardhaman,2015,634598.6898
North Goa,2015,80468
Purba Bardhaman,2016,590973.0467
Purba Bardhaman,2017,733942
Purba Bardhaman,2018,740017
Birbhum,2011,555980
Birbhum,2012,539267
Birbhum,2013,557399
Birbhum,2014,555632
Birbhum,2015,590644
Birbhum,2016,578716
Birbhum,2017,616730
Birbhum,2018,581384
Coochbehar,2011,513482
Coochbehar,2012,514631
Coochbehar,2013,516686
Coochbehar,2014,533664
Coochbehar,2015,519681
Coochbehar,2016,509463
Coochbehar,2017,539304
Coochbehar,2018,547042
Darjeeling,2011,131496.9831
Darjeeling,2012,133043.4768
Darjeeling,2013,134536.0785
Darjeeling,2014,134559.2725
Darjeeling,2015,135943.4082
Darjeeling,2016,137970.1539
Darjeeling,2017,153395
Darjeeling,2018,151315
Dinajpur Dakshin,2011,305365
Dinajpur Dakshin,2012,303495
Dinajpur Dakshin,2013,305090
Dinajpur Dakshin,2014,308077
Dinajpur Dakshin,2015,319004
Dinajpur Dakshin,2016,305239
Dinajpur Dakshin,2017,409385
Dinajpur Dakshin,2018,388682
Dinajpur Uttar,2011,470957
Dinajpur Uttar,2012,484107
Dinajpur Uttar,2013,498548
Hooghly,2011,520519.9789
Hooghly,2012,527404.0954
Hooghly,2013,539143.1785
Hooghly,2014,543012.5578
Hooghly,2015,546595.0572
Hooghly,2016,512635
Hooghly,2017,522262
Hooghly,2018,527233
Howrah,2011,156818
Howrah,2012,157306
Howrah,2013,155311
Howrah,2014,167026
Howrah,2015,169799
Howrah,2016,165510
Howrah,2017,162099
Howrah,2018,165003
Jalpaiguri,2011,305494.1959
Jalpaiguri,2012,307920.7683
Jalpaiguri,2013,318174.1437
Jalpaiguri,2014,311647.2301
Jalpaiguri,2015,317970.1076
Jalpaiguri,2016,360033
Jalpaiguri,2017,334415
Jalpaiguri,2018,327001
Maldah,2011,438771
Maldah,2012,457412
Maldah,2013,448480
Maldah,2014,453708
Maldah,2015,469800
Maldah,2016,465548
Maldah,2017,470660
Maldah,2018,467038
Medinipur East,2011,518946
Medinipur East,2012,514142
Medinipur East,2013,500618
Medinipur East,2014,542702
Medinipur East,2016,525526
Medinipur East,2017,516217
Medinipur East,2018,529090
Medinipur West,2011,618079.5794
Medinipur West,2012,647700.8591
Medinipur West,2013,674464.8481
Medinipur West,2014,683277.1415
Medinipur West,2015,694052.7641
Medinipur West,2016,680343.9996
Medinipur West,2017,851448
Medinipur West,2018,827124
Murshidabad,2011,892440
Murshidabad,2012,914803
Murshidabad,2013,923290
Murshidabad,2014,947246
Murshidabad,2015,1007102
Murshidabad,2016,983084
Murshidabad,2017,940998
Murshidabad,2018,937356
Nadia,2011,712613.0211
Nadia,2012,718775.9046
Nadia,2013,713301.8215
Nadia,2014,718164.4422
Nadia,2015,708486.9428
Nadia,2016,678500
Nadia,2017,670874
Nadia,2018,662573
Purulia,2011,336355
Purulia,2012,355830
Purulia,2013,376455
Purulia,2014,351417
Purulia,2015,342492
Purulia,2016,355503
Purulia,2017,367513
Purulia,2018,369364
Alipurduar,2011,239506.8041
Alipurduar,2012,241409.2317
Alipurduar,2013,249447.8563
Alipurduar,2014,244330.7699
Alipurduar,2015,249287.8924
Alipurduar,2016,184579
Alipurduar,2017,241655
Alipurduar,2018,241999
Kalimpong,2011,61264.01686
Kalimpong,2012,61984.52322
Kalimpong,2013,62679.92151
Kalimpong,2014,62690.72751
Kalimpong,2015,63335.59183
Kalimpong,2016,64279.84608
Kalimpong,2017,54273
Kalimpong,2018,58486
Jhargram,2011,294560.4206
Jhargram,2012,308677.1409
Jhargram,2013,321432.1519
Jhargram,2014,325631.8585
Jhargram,2015,330767.2359
Jhargram,2016,324234.0004
Jhargram,2017,197671
Jhargram,2018,218050
North Goa,2016,78585
Paschim Bardhaman,2011,154103.261
Paschim Bardhaman,2012,154869.7404
Paschim Bardhaman,2013,159094.3548
Paschim Bardhaman,2014,155630.2349
Paschim Bardhaman,2015,158154.3102
Paschim Bardhaman,2016,147281.9533
Paschim Bardhaman,2017,60155
Paschim Bardhaman,2018,63252
Bokaro,2011,43550
Bokaro,2012,39723
Bokaro,2013,37083
Bokaro,2014,39027
Bokaro,2015,33525
Bokaro,2016,41193
Bokaro,2017,34235
Bokaro,2018,28726
Chatra,2011,38678
Chatra,2012,38141
Chatra,2013,39625
Chatra,2014,38925
Chatra,2015,54585
Chatra,2016,39172
Chatra,2017,34684
Chatra,2018,31809
Deoghar,2011,39454
Deoghar,2012,37062
Deoghar,2013,39655
Deoghar,2014,47523
Deoghar,2015,47524
Deoghar,2016,48237
Deoghar,2017,52757
Deoghar,2018,54585
Dhanbad,2011,11375
Dhanbad,2012,14967
Dhanbad,2013,14864
Dhanbad,2014,13543
Dhanbad,2015,9508
Dhanbad,2016,11519
Dhanbad,2017,12545
Dhanbad,2018,11784
Dumka,2011,72142
Dumka,2012,87272
Dumka,2013,86274
Dumka,2014,87521
Dumka,2015,83150
Dumka,2016,84911
Dumka,2017,85358
Dumka,2018,64168
East Singhbum,2011,102421
East Singhbum,2012,84698
East Singhbum,2013,79722
East Singhbum,2014,82121
East Singhbum,2015,95025
East Singhbum,2016,62371
East Singhbum,2017,100037
East Singhbum,2018,67090
Garhwa,2011,77491
Garhwa,2012,83806
Garhwa,2013,81336
Garhwa,2014,63262
Garhwa,2015,73078
Garhwa,2016,91380
Garhwa,2017,88696
Garhwa,2018,103020
Giridih,2011,63268
Giridih,2012,74200
Giridih,2013,95872
Giridih,2014,58902
Giridih,2015,94376
Giridih,2016,143459
Giridih,2017,132443
Giridih,2018,130690
Godda,2011,42388
Godda,2012,92024
Godda,2013,86264
Godda,2014,73954
Godda,2015,78376
Godda,2016,85899
Godda,2017,60618
Godda,2018,57406
Gumla,2011,125892
Gumla,2012,138402
Gumla,2013,127923
Gumla,2014,124802
Gumla,2015,140010
Gumla,2016,288192
Gumla,2017,258952
Gumla,2018,210120
Hazaribagh,2011,51383
Hazaribagh,2012,50753
Hazaribagh,2013,49634
Hazaribagh,2014,56396
Hazaribagh,2015,66817
Hazaribagh,2016,62584
Hazaribagh,2017,64037
Hazaribagh,2018,48680
Jamtara,2011,40378
Jamtara,2012,43419
Jamtara,2013,42639
Jamtara,2014,42964
Jamtara,2015,56034
Jamtara,2016,61930
Jamtara,2017,65261
Jamtara,2018,48251
Koderma,2011,12025
Koderma,2012,23244
Koderma,2013,25482
Koderma,2014,11541
Koderma,2015,13240
Koderma,2016,13767
Koderma,2017,14103
Koderma,2018,13121
Latehar,2011,51780
Latehar,2012,54650
Latehar,2013,56897
Latehar,2014,54134
Latehar,2015,57453
Latehar,2016,59394
Latehar,2017,63701
Latehar,2018,59258
Lohardaga,2011,46038
Lohardaga,2012,47517
Lohardaga,2013,53047
Lohardaga,2014,50194
Lohardaga,2015,51908
Lohardaga,2016,50901
Lohardaga,2017,48317
Lohardaga,2018,45696
Pakur,2011,43802
Pakur,2012,40194
Pakur,2013,34966
Pakur,2014,39957
Pakur,2015,54105
Pakur,2016,59419
Pakur,2017,94940
Pakur,2018,49116
Palamu,2011,65850
Palamu,2012,134995
Palamu,2013,122044
Palamu,2014,111972
Palamu,2015,137432
Palamu,2016,180094
Palamu,2017,150129
Palamu,2018,176800
Ranchi,2011,129619
Ranchi,2012,150729
Ranchi,2013,143669
Ranchi,2014,121304
Ranchi,2015,138168
Ranchi,2016,252449
Ranchi,2017,265074
Ranchi,2018,209227
Sahebganj,2011,36054
Sahebganj,2012,56245
Sahebganj,2013,44431
Sahebganj,2014,48177
Sahebganj,2015,50167
Sahebganj,2016,48616
Sahebganj,2017,42374
Sahebganj,2018,40262
Saraikela Kharsawan,2011,54004
Saraikela Kharsawan,2012,72539
Saraikela Kharsawan,2013,74665
Saraikela Kharsawan,2014,73796
Saraikela Kharsawan,2015,61038
Saraikela Kharsawan,2016,59727
Saraikela Kharsawan,2017,53244
Saraikela Kharsawan,2018,67169
Simdega,2011,76586
Simdega,2012,75783
Simdega,2013,92948
Simdega,2014,90467
Simdega,2015,137218
Simdega,2016,84730
Simdega,2017,83762
Simdega,2018,83400
West Singhbhum,2011,121344
West Singhbhum,2012,134690
West Singhbhum,2013,141849
West Singhbhum,2014,129726
West Singhbhum,2015,131750
West Singhbhum,2016,117553
West Singhbhum,2017,132256
West Singhbhum,2018,134208
Khunti,2011,69133
Khunti,2012,68592
Khunti,2013,85327
Khunti,2014,77781
Khunti,2015,103296
Khunti,2016,75866
Khunti,2017,68611
Khunti,2018,64561
Ramgarh,2011,15731
Ramgarh,2012,13390
Ramgarh,2013,15671
Ramgarh,2014,15702
Ramgarh,2015,43769
Ramgarh,2016,21603
Ramgarh,2017,26744
Ramgarh,2018,25321
Anugul,2011,102641
Anugul,2012,109927
Anugul,2013,96019
Anugul,2014,110387
Anugul,2015,93385
Anugul,2016,94489
Anugul,2017,107256
Anugul,2018,81310
Balangir,2011,269814
Balangir,2012,310218
Balangir,2013,309262
Balangir,2014,299392
Balangir,2015,270794
Balangir,2016,263067
Balangir,2017,191102
Balangir,2018,175113
Baleshwar,2011,251267
Baleshwar,2012,219029
Baleshwar,2013,237662
Baleshwar,2014,228366
Baleshwar,2015,235717
Baleshwar,2016,236162
Baleshwar,2017,220309
Baleshwar,2018,226058
Bargarh,2011,355695
Bargarh,2012,344521
Bargarh,2013,383897
Bargarh,2014,359282
Bargarh,2015,350307
Bargarh,2016,335412
Bargarh,2017,342470
Bargarh,2018,328258
Bhadrak,2011,179630
Bhadrak,2012,173336
Bhadrak,2013,175492
Bhadrak,2014,172681
Bhadrak,2015,170455
Bhadrak,2016,162941
Bhadrak,2017,162505
Bhadrak,2018,153894
Boudh,2011,77139
Boudh,2012,85305
Boudh,2013,78385
Boudh,2014,68870
Boudh,2015,65036
Boudh,2016,66189
Boudh,2017,64058
Boudh,2018,67432
Cuttack,2011,206089
Cuttack,2012,194684
Cuttack,2013,154778
Cuttack,2014,160031
Cuttack,2015,162621
Cuttack,2016,164653
Cuttack,2017,138280
Cuttack,2018,124999
Deogarh,2011,42497
Deogarh,2012,49539
Deogarh,2013,53896
Deogarh,2014,52338
Deogarh,2015,48884
Deogarh,2016,47699
Deogarh,2017,50920
Deogarh,2018,58677
Dhenkanal,2011,106027
Dhenkanal,2012,99346
Dhenkanal,2013,106225
Dhenkanal,2014,112755
Dhenkanal,2015,96754
Dhenkanal,2016,84493
Dhenkanal,2017,71849
Dhenkanal,2018,96163
Gajapati,2011,57534
Gajapati,2012,56949
Gajapati,2013,64234
Gajapati,2014,66911
Gajapati,2015,63925
Gajapati,2016,66305
Gajapati,2017,63349
Gajapati,2018,59278
Ganjam,2011,308620
Ganjam,2012,328863
Ganjam,2013,322519
Ganjam,2014,337952
Ganjam,2015,318116
Ganjam,2016,340156
Ganjam,2017,268783
Ganjam,2018,314095
Jagatsinghapur,2011,122888
Jagatsinghapur,2012,113925
Jagatsinghapur,2013,120528
Jagatsinghapur,2014,129977
Jagatsinghapur,2015,130855
Jagatsinghapur,2016,127850
Jagatsinghapur,2017,113230
Jagatsinghapur,2018,129184
Jajapur,2011,164795
Jajapur,2012,157866
Jajapur,2013,154566
Jajapur,2014,162110
Jajapur,2015,143212
Jajapur,2016,137638
Jajapur,2017,130717
Jajapur,2018,142195
Jharsuguda,2011,41118
Jharsuguda,2012,39684
Jharsuguda,2013,42759
Jharsuguda,2014,71334
Jharsuguda,2015,47179
Jharsuguda,2016,50041
Jharsuguda,2017,52325
Jharsuguda,2018,42354
Kalahandi,2011,274309
Kalahandi,2012,332629
Kalahandi,2013,315097
Kalahandi,2014,306029
Kalahandi,2015,246439
Kalahandi,2016,282090
Kalahandi,2017,240679
Kalahandi,2018,257386
Kandhamal,2011,51196
Kandhamal,2012,56424
Kandhamal,2013,59151
Kandhamal,2014,58956
Kandhamal,2015,37691
Kandhamal,2016,49047
Kandhamal,2017,36947
Kandhamal,2018,45022
Kendrapara,2011,175847
Kendrapara,2012,181743
Kendrapara,2013,166882
Kendrapara,2014,158301
Kendrapara,2015,151471
Kendrapara,2016,143959
Kendrapara,2017,147031
Kendrapara,2018,149931
Kendujhar,2011,184607
Kendujhar,2012,182429
Kendujhar,2013,184763
Kendujhar,2014,187322
Kendujhar,2015,192620
Kendujhar,2016,206093
Kendujhar,2017,201905
Kendujhar,2018,165448
Khordha,2011,109358
Khordha,2012,108233
Khordha,2013,116397
Khordha,2014,126060
Khordha,2015,121084
Khordha,2016,117804
Khordha,2017,94081
Khordha,2018,98322
Koraput,2011,198784
Koraput,2012,212582
Koraput,2013,226896
Koraput,2014,224358
Koraput,2015,199492
Koraput,2016,201153
Koraput,2017,211008
Koraput,2018,203081
Malkangiri,2011,114482
Malkangiri,2012,116862
Malkangiri,2013,124214
Malkangiri,2014,127502
Malkangiri,2015,119358
Malkangiri,2016,114197
Malkangiri,2017,117231
Malkangiri,2018,115915
Mayurbhanj,2011,314322
Mayurbhanj,2012,301862
Mayurbhanj,2013,318783
Mayurbhanj,2014,326066
Mayurbhanj,2015,327583
Mayurbhanj,2016,320498
Mayurbhanj,2017,334233
Mayurbhanj,2018,343012
Nabarangpur,2011,218416
Nabarangpur,2012,213946
Nabarangpur,2013,214588
Nabarangpur,2014,210896
Nabarangpur,2015,178078
Nabarangpur,2016,216933
Nabarangpur,2017,154822
Nabarangpur,2018,173930
Nayagarh,2011,104368
Nayagarh,2012,136825
Nayagarh,2013,147158
Nayagarh,2014,137515
Nayagarh,2015,117094
Nayagarh,2016,124994
Nayagarh,2017,125254
Nayagarh,2018,111708
Nuapada,2011,132022
Nuapada,2012,131321
Nuapada,2013,134676
Nuapada,2014,121168
Nuapada,2015,107537
Nuapada,2016,122068
Nuapada,2017,114468
Nuapada,2018,118633
Puri,2011,179335
Puri,2012,178669
Puri,2013,167163
Puri,2014,179262
Puri,2015,185100
Puri,2016,142229
Puri,2017,128360
Puri,2018,148785
Rayagada,2011,130895
Rayagada,2012,126395
Rayagada,2013,155243
Rayagada,2014,152833
Rayagada,2015,123510
Rayagada,2016,131475
Rayagada,2017,133462
Rayagada,2018,117818
Sambalpur,2011,140984
Sambalpur,2012,141968
Sambalpur,2013,166058
Sambalpur,2014,176532
Sambalpur,2015,150955
Sambalpur,2016,163861
Sambalpur,2017,138648
Sambalpur,2018,138776
Sonepur,2011,137918
Sonepur,2012,142063
Sonepur,2013,144610
Sonepur,2014,137040
Sonepur,2015,139985
Sonepur,2016,139320
Sonepur,2017,129953
Sonepur,2018,147507
Sundargarh,2011,211878
Sundargarh,2012,221448
Sundargarh,2013,225760
Sundargarh,2014,210777
Sundargarh,2015,207410
Sundargarh,2016,231444
Sundargarh,2017,216591
Sundargarh,2018,192711
Bastar,2011,186165
Bastar,2012,186078
Bastar,2013,185436
Bastar,2014,179018
Bastar,2015,174710
North Goa,2017,76893
Bastar,2016,175586
Bastar,2017,175873
Bastar,2018,173916
Bilaspur,2011,190316.2573
Bilaspur,2012,186839.763
Bilaspur,2013,188238.5012
Bilaspur,2014,188025.2986
Bilaspur,2015,183195.937
Bilaspur,2016,173131.4828
Bilaspur,2017,162212.9262
Bilaspur,2018,163985.738
Dantewada,2011,102108
Dantewada,2012,102819
Dantewada,2013,102458
Dantewada,2014,104443
Dantewada,2015,101535
Dantewada,2016,101124
Dantewada,2017,99009
Dantewada,2018,98428
Dhamtari,2011,210571
Dhamtari,2012,218425
Dhamtari,2013,224153
Dhamtari,2014,233751
Dhamtari,2015,206551
Dhamtari,2016,226413
Dhamtari,2017,210079
Dhamtari,2018,213316
Durg,2011,192214
Durg,2012,196506
Durg,2013,193315
Durg,2014,190437
Durg,2015,189721
Durg,2016,186591
Durg,2017,180887
Durg,2018,189114
Janjgir-Champa,2011,315724
Janjgir-Champa,2012,316820
Janjgir-Champa,2013,291616
Janjgir-Champa,2014,286321
Janjgir-Champa,2015,290659
Janjgir-Champa,2016,275853
Janjgir-Champa,2017,269343
Janjgir-Champa,2018,273348
Jashpur,2011,258334
Jashpur,2012,258136
Jashpur,2013,255489
Jashpur,2014,256480
Jashpur,2015,256863
Jashpur,2016,257374
Jashpur,2017,257051
Jashpur,2018,255051
Kanker,2011,228282
Kanker,2012,228071
Kanker,2013,230916
Kanker,2014,231040
Kanker,2015,229304
Kanker,2016,226343
Kanker,2017,223722
Kanker,2018,225209
Kabirdham,2011,250459
Kabirdham,2012,252164
Kabirdham,2013,254913
Kabirdham,2014,267711
Kabirdham,2015,267006
Kabirdham,2016,272698
Kabirdham,2017,266846
Kabirdham,2018,279040
Korba,2011,141835
Korba,2012,141200
Korba,2013,141565
Korba,2014,141079
Korba,2015,141881
Korba,2016,137329
Korba,2017,134588
Korba,2018,130158
Korea,2011,115118
Korea,2012,115225
Korea,2013,115849
Korea,2014,118452
Korea,2015,103548
Korea,2016,109593
Korea,2017,107814
Korea,2018,106500
Mahasamund,2011,296499
Mahasamund,2012,302057
Mahasamund,2013,301729
Mahasamund,2014,303122
Mahasamund,2015,301314
Mahasamund,2016,306194
Mahasamund,2017,302444
Mahasamund,2018,313131
Raigarh,2011,300916
Raigarh,2012,299855
Raigarh,2013,300516
Raigarh,2014,287010
Raigarh,2015,287425
Raigarh,2016,299867
Raigarh,2017,279916
Raigarh,2018,290431
Raipur,2011,210513
Raipur,2012,221351
Raipur,2013,219816
Raipur,2014,225177
Raipur,2015,200995
Raipur,2016,214451
Raipur,2017,195365
Raipur,2018,194673
Rajnandgaon,2011,443938
Rajnandgaon,2012,442290
Rajnandgaon,2013,446628
Rajnandgaon,2014,446960
Rajnandgaon,2015,468040
Rajnandgaon,2016,493730
Rajnandgaon,2017,494466
Rajnandgaon,2018,517075
Surguja,2011,183450
Surguja,2012,183077
Surguja,2013,182267
Surguja,2014,182604
Surguja,2015,182562
Surguja,2016,182705
Surguja,2017,178602
Surguja,2018,175836
Bijapur,2011,60362
Bijapur,2012,65435
Bijapur,2013,66217
Bijapur,2014,66049
Bijapur,2015,63278
Bijapur,2016,64929
Bijapur,2017,65487
Bijapur,2018,66368
Narayanpur,2011,32860
Narayanpur,2012,32966
Narayanpur,2013,33440
Narayanpur,2014,33599
Narayanpur,2015,31787
Narayanpur,2016,31839
