State,Year,ratio
Tripura,2016,1.119205298
Tripura,2016,0.903183341
Tripura,2017,1.090322581
Tripura,2017,0.926401503
Tripura,2018,1.422413793
Tripura,2018,0.972996516
Tripura,2019,1.963855422
Tripura,2019,1.006685179
Tripura,2020,1.041734034
Meghalaya,2011,1.116492147
Meghalaya,2011,1.282725766
Meghalaya,2012,1.018867925
Meghalaya,2012,1.238162295
Meghalaya,2013,1.226582278
Meghalaya,2013,1.294299172
Meghalaya,2015,0.97833935
Meghalaya,2015,1.296756826
Meghalaya,2016,0.998542274
Meghalaya,2016,1.33670502
Meghalaya,2017,0.936997319
Meghalaya,2017,1.278012302
Meghalaya,2018,1.321872015
Meghalaya,2018,1.289790144
Meghalaya,2019,0.977983778
Meghalaya,2019,1.320030448
Meghalaya,2020,1.36473755
Meghalaya,2020,1.435014205
Assam,2011,0.896804005
Assam,2011,0.939685122
Assam,2012,0.996162791
Assam,2012,0.944829338
Assam,2013,0.881101583
Assam,2013,0.940750294
Assam,2014,0.896103896
Assam,2014,0.9455802
Assam,2015,0.846493321
Assam,2015,0.956294591
Assam,2016,0.846724891
Assam,2016,0.919471345
Assam,2016,0
Assam,2016,0.723279649
Assam,2017,0.737409025
Assam,2017,0.974402221
Assam,2017,1.231922253
Assam,2018,0.679121534
Assam,2018,1.027754502
Assam,2019,0.730153322
Assam,2019,0.995855578
Assam,2020,0.716197462
Assam,2020,1.023610908
West Bengal,2011,0.212827988
West Bengal,2011,0.793542641
West Bengal,2012,0
West Bengal,2012,0.290205562
West Bengal,2012,0.854765771
West Bengal,2013,0.348632813
West Bengal,2013,0.870562142
West Bengal,2014,0.312559467
West Bengal,2014,0.900503389
West Bengal,2015,0.436811746
West Bengal,2015,0.973498393
West Bengal,2016,0.537539103
West Bengal,2016,1.008397024
West Bengal,2017,0.601487779
West Bengal,2017,1.176742193
West Bengal,2017,1.059428922
West Bengal,2018,0.612525458
West Bengal,2018,1.146421466
West Bengal,2018,1.104705557
West Bengal,2019,0.764285714
West Bengal,2019,1.264016018
West Bengal,2019,1.13340986
West Bengal,2020,0.876549587
West Bengal,2020,1.322395539
West Bengal,2020,1.183949549
Jharkhand,2011,0.582783641
Jharkhand,2011,0.929900176
Jharkhand,2012,0.534308752
Jharkhand,2012,0.880468462
Jharkhand,2013,0.593337043
Jharkhand,2013,0.972140683
Jharkhand,2014,0.551148982
Jharkhand,2014,0.95206448
Jharkhand,2015,0.521368585
Jharkhand,2015,0.99492025
Jharkhand,2016,0.633303276
Jharkhand,2016,1.037388456
Jharkhand,2017,0.617502336
Jharkhand,2017,1.080918541
Jharkhand,2018,0.589657488
Jharkhand,2018,1.111902907
Jharkhand,2019,0.640625944
Jharkhand,2019,1.130711723
Jharkhand,2020,0.584010964
Jharkhand,2020,1.172542757
Odisha,2011,0.955923384
Odisha,2012,1.015786783
Odisha,2013,0.995508499
Odisha,2014,0.842595567
Odisha,2014,1.060474239
Odisha,2015,0.978184554
Odisha,2015,1.035100772
Odisha,2016,1.039316717
Odisha,2017,0.293732334
